10.10.13.10 28:ec:9a:f1:26:d6 bbb1
10.10.13.1 b8:27:eb:b1:c4:25 server3
10.10.12.254 00:1e:06:10:3d:76 odroid-c1
10.10.12.93 48:b0:2d:2d:ee:48 node903
10.10.12.92 48:b0:2d:2d:f2:95 node902
10.10.12.91 48:b0:2d:2e:c1:44 node901
10.10.12.90 48:b0:2d:2e:83:98 node900
10.10.12.21 b8:ca:3a:7d:23:f2 media02
10.10.12.20 00:0f:60:05:12:51 media01
10.10.12.18 dc:a6:32:f9:9b:6f head1
10.10.12.17 18:c0:4d:6d:31:92 thelio
10.10.12.14 dc:a6:32:a7:75:78 storage1
10.10.12.13 b8:27:eb:ee:d2:09 server2
10.10.12.12 b8:27:eb:95:b2:6b server1
10.10.12.11 b8:27:eb:e5:ba:f1 labbench
10.10.12.8 00:e0:4c:68:05:41 grimoire
10.10.12.7 50:e5:49:c8:0d:4b lanparty
10.10.12.4 28:bd:89:bc:63:9e edge-t
10.10.12.3 dc:a6:32:22:84:02 node3
10.10.12.2 dc:a6:32:39:a2:b1 node2
10.10.12.1 dc:a6:32:39:88:e9 node1
10.10.12.0 dc:a6:32:39:a4:7c node0
